"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice"
"C02","C03","C06","C14","C18","C08","C13","C15","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C06","C03","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C14","C19","C03","C01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C02","C15","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05","C15","C06","C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C14","C19","C17","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C06","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C06","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C18","C11","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C08","C12","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C13","C06","C17","C18","C09","C08","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C14","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C02","C14","C08","C03","C06","C17","C15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C19","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C08","C19","C03","C06","C13","C15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C02","C14","C19","C12","C18","C06","C17","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C13","C06","C17","C18","C09","C08","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C08","C06","C03","C13","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C14","C12","C17","C19","C03","C07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C14","C19","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C13","C02","C15","C18","C07","C09","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C06","C07","C15","C08","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C14","C03","C18","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C16","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C14","C13","C18","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C17","C19","C03","C06","C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C14","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C15","C12","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C14","C03","C19","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C03","C06","C13","C19","C08","C12","C18","C17","C10","C14","C16","C15","C05","C04","C11","C01","C20","C07"
"C19","C12","C13","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C06","C14","C12","C17","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C19","C02","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C14","C18","C06","C15","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C06","C03","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C07","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C17","C13","C02","C14","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C14","C06","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C14","C06","C19","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C06","C08","C17","C15","C19","C13","C14","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C08","C13","C03","C14","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C02","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C03","C13","C06","C02","C19","C20","C09","C14","C08","C05","C01","C04","C17","C07","C15","C12","C16","C10"
"C02","C03","C06","C14","C13","C12","C15","C19","C05","C17","C08","C07","C09","C16","C18","C10","C20","C01","C04"
"C03","C15","C06","C08","C19","C13","C16","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C06","C19","C18","C02","C08","C14","C13","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C15","C06","C08","C19","C13","C17","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C08","C18","C12","C01","C17","C13","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C03","C14","C17","C12","C19","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C14","C03","C19","C17","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16","C02","C03","C18","C14","C12","C13","C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C16","C17","C03","C14","C13","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C14","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C06","C14","C02","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C13","C12","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C13","C06","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C20","C14","C02","C03","C07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C17","C03","C14","C13","C12","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C14","C08","C19","C09","C02","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C06","C03","C12","C14","C16","C15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C03","C14","C19","C15","C07","C08","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C12","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C14","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C06","C14","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C17","C03","C06","C12","C13","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C08","C13","C18","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C13","C14","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C19","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C02","C14","C13","C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C03","C09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C17","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C06","C13","C15","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C17","C13","C06","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C15","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C03","C11","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C09","C06","C08","C17","C03","C19","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C15","C19","C13","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05","C06","C02","C03","C13","C15","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C17","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C07","C02","C20","C14","C03","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C19","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C14","C06","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C02","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C02","C19","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C14","C16","C03","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C08","C07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C03","C05","C15","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C12","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C03","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C14","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C17","C03","C13","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C02","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C17","C02","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C14","C03","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C17","C02","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C05","C18","C19","C13","C15","C03","C09","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C02","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C19","C06","C08","C03","C17","C14","C15","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C08","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C08","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17","C19","C03","C06","C08","C12","C13","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18","C13","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C17","C12","C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C08","C12","C18","C01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C12","C02","C08","C18","C15","C07","C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C16","C15","C13","C19","C02","C08","C14","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C18","C15","C14","C06","C07","C02","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C14","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C15","C02","C03","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C13","C08","C03","C17","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C14","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18","C13","C08","C19","C03","C12","C14","C16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C14","C12","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C07","C17","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05","C09","C13","C03","C08","C12","C07","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C08","C13","C02","C15","C14","C06","C19","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C17","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C03","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C03","C06","C18","C04","C13","C09","C05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C02","C03","C06","C15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C02","C03","C15","C07","C13","C05","C14","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C13","C18","C14","C08","C07","C09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C18","C06","C08","C13","C14","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C05","C06","C03","C12","C13","C08","C19","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C13","C12","C17","C19","C02","C08","C06","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C05","C14","C13","C06","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C14","C02","C07","C13","C15","C05","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C13","C15","C03","C08","C12","C16","C17","C06","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C03","C06","C13","C02","C14","C15","C19","C08","C11","C09","C07","C05",NA,NA,NA,NA,NA,NA
"C18","C03","C13","C06","C14","C19","C08","C17","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C15","C13","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03","C08","C07","C12","C13","C02","C05","C04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C03","C05","C14","C17","C18","C12","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18","C13","C09","C03","C08","C10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19","C03","C01","C02","C18","C11","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18","C13","C08","C09","C15","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C13","C02","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C08","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C19","C03","C13","C05","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C01","C12","C08","C07","C06","C03","C09","C13","C17","C18",NA,NA,NA,NA,NA,NA,NA,NA
"C08","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C18","C06","C13","C14","C15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C03","C02","C08","C18","C20","C04","C11","C07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C16","C03","C13","C12","C05","C07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17","C06","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C12","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C13","C03","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C03","C14","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05","C02","C03","C06","C14","C13","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05","C02","C03","C06","C14","C13","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C17","C14","C03","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18","C03","C14","C13","C08","C15","C05","C07","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C19","C06","C02","C14","C15","C03","C05","C17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C02","C12","C14","C13","C06","C08","C15","C17","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C15","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12","C03","C02","C01","C06","C09","C08","C13","C10","C14","C19","C17","C15","C16",NA,NA,NA,NA,NA
"C06","C19","C02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C13","C18","C08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C08","C12","C13","C14","C17","C19","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08","C12","C13","C14","C17","C19","C03","C06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C11","C12","C02","C03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C02","C03","C15","C07","C13","C05","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C14","C03","C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06","C18","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
