"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Burgin, Josh M.","Musgrave, Adriane B.","Toner, Paul F.","Gebru, Samuel","Mallon, Alana M.","Zondervan, Quinton Y.","Lenke, Dan","Okamoto, Nadya T.","Pillai, Hari I.","Siddiqui, Sumbul","Santos, Jeff","Sutton, Bryan","Sivongxay, Vatsady","Moree, Gregg J.","Harding, Jr., Richard","Benjamin, Ronald","D'Ambrosio, Olivia","Volmar, Gwen Thomas","Tierney, Sean","Levy, Ilan","Simmons, E. Denise","Devereux, Jan","Carlone, Dennis J.","Toomey, Jr., Timothy J.","Kelley, Craig A.","McGovern, Marc C."
"Sivongxay, Vatsady","Musgrave, Adriane B.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Musgrave, Adriane B.","McGovern, Marc C.","Simmons, E. Denise","Gebru, Samuel","Tierney, Sean","Kelley, Craig A.","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Devereux, Jan","Carlone, Dennis J.","Kelley, Craig A.","Toomey, Jr., Timothy J.","Sivongxay, Vatsady","Musgrave, Adriane B.","Mallon, Alana M.","D'Ambrosio, Olivia","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Devereux, Jan","Volmar, Gwen Thomas","Toomey, Jr., Timothy J.","Carlone, Dennis J.","Kelley, Craig A.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Siddiqui, Sumbul","D'Ambrosio, Olivia","Sivongxay, Vatsady","Carlone, Dennis J.","Okamoto, Nadya T.","Mallon, Alana M.","McGovern, Marc C.","Levy, Ilan","Harding, Jr., Richard","Gebru, Samuel","Santos, Jeff","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Harding, Jr., Richard","McGovern, Marc C.","Toomey, Jr., Timothy J.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levy, Ilan","Santos, Jeff","Sutton, Bryan","Okamoto, Nadya T.","Siddiqui, Sumbul","Sivongxay, Vatsady","Pillai, Hari I.","D'Ambrosio, Olivia","Lenke, Dan","Volmar, Gwen Thomas","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levy, Ilan","Burgin, Josh M.","Sutton, Bryan","Pillai, Hari I.","Lenke, Dan","Volmar, Gwen Thomas","D'Ambrosio, Olivia","Okamoto, Nadya T.","Siddiqui, Sumbul","Sivongxay, Vatsady","Mallon, Alana M.","Tierney, Sean","Toner, Paul F.","Benjamin, Ronald","Santos, Jeff","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Kelley, Craig A.","McGovern, Marc C.","Simmons, E. Denise","Harding, Jr., Richard","Toner, Paul F.","Tierney, Sean","Musgrave, Adriane B.","Santos, Jeff","Devereux, Jan","Gebru, Samuel","Siddiqui, Sumbul","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","McGovern, Marc C.","Harding, Jr., Richard","Mallon, Alana M.","Simmons, E. Denise","Kelley, Craig A.","Devereux, Jan","Carlone, Dennis J.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Toomey, Jr., Timothy J.","Zondervan, Quinton Y.","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Santos, Jeff","Pillai, Hari I.","Musgrave, Adriane B.","Moree, Gregg J.","McGovern, Marc C.","Mallon, Alana M.","Levy, Ilan","Lenke, Dan","Volmar, Gwen Thomas"
"Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","McGovern, Marc C.","Toomey, Jr., Timothy J.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","McGovern, Marc C.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moree, Gregg J.","Harding, Jr., Richard","McGovern, Marc C.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Simmons, E. Denise","Toomey, Jr., Timothy J.","Kelley, Craig A.","McGovern, Marc C.","Carlone, Dennis J.","Gebru, Samuel","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","McGovern, Marc C.","Simmons, E. Denise","Carlone, Dennis J.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Musgrave, Adriane B.","Devereux, Jan","McGovern, Marc C.","Simmons, E. Denise","Santos, Jeff","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Musgrave, Adriane B.","Siddiqui, Sumbul","Simmons, E. Denise","Tierney, Sean","Gebru, Samuel","Sivongxay, Vatsady","Kelley, Craig A.","Toomey, Jr., Timothy J.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Tierney, Sean","Mallon, Alana M.","McGovern, Marc C.","Musgrave, Adriane B.","Simmons, E. Denise","Sivongxay, Vatsady","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Volmar, Gwen Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Simmons, E. Denise","Tierney, Sean","Harding, Jr., Richard","Devereux, Jan","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Siddiqui, Sumbul","Simmons, E. Denise","Okamoto, Nadya T.","Sivongxay, Vatsady","Volmar, Gwen Thomas","Pillai, Hari I.","Devereux, Jan","Burgin, Josh M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Sivongxay, Vatsady","Siddiqui, Sumbul","D'Ambrosio, Olivia","Pillai, Hari I.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Carlone, Dennis J.","Volmar, Gwen Thomas","Tierney, Sean","Sutton, Bryan","Santos, Jeff","McGovern, Marc C.","Levy, Ilan","Gebru, Samuel","Burgin, Josh M.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Musgrave, Adriane B.","D'Ambrosio, Olivia","Siddiqui, Sumbul","Sivongxay, Vatsady","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","McGovern, Marc C.","Musgrave, Adriane B.","Tierney, Sean","Mallon, Alana M.","Gebru, Samuel","Toomey, Jr., Timothy J.","Toner, Paul F.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Simmons, E. Denise","Harding, Jr., Richard","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Gebru, Samuel","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Santos, Jeff","Harding, Jr., Richard","Carlone, Dennis J.","Sutton, Bryan","McGovern, Marc C.","Tierney, Sean","Gebru, Samuel","Toner, Paul F.","Simmons, E. Denise","Pillai, Hari I.","Okamoto, Nadya T.","Siddiqui, Sumbul","Sivongxay, Vatsady","Lenke, Dan","Volmar, Gwen Thomas","Devereux, Jan","Zondervan, Quinton Y.","Mallon, Alana M.","Toomey, Jr., Timothy J.","Levy, Ilan","Burgin, Josh M.","Benjamin, Ronald","Musgrave, Adriane B.","D'Ambrosio, Olivia","Moree, Gregg J."
"Musgrave, Adriane B.","Toomey, Jr., Timothy J.","McGovern, Marc C.","Devereux, Jan","Simmons, E. Denise","Carlone, Dennis J.","Kelley, Craig A.","D'Ambrosio, Olivia","Mallon, Alana M.","Okamoto, Nadya T.","Siddiqui, Sumbul","Santos, Jeff","Pillai, Hari I.","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Burgin, Josh M.","Benjamin, Ronald","Gebru, Samuel","Harding, Jr., Richard","Lenke, Dan","Levy, Ilan","Moree, Gregg J."
"McGovern, Marc C.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Gebru, Samuel","Musgrave, Adriane B.","Tierney, Sean","Simmons, E. Denise","Mallon, Alana M.","Siddiqui, Sumbul","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Kelley, Craig A.","McGovern, Marc C.","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Toner, Paul F.","Zondervan, Quinton Y.","Tierney, Sean","Simmons, E. Denise","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Devereux, Jan","Carlone, Dennis J.","Volmar, Gwen Thomas","Toner, Paul F.","Sivongxay, Vatsady","Burgin, Josh M.","Harding, Jr., Richard","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","McGovern, Marc C.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Tierney, Sean","Gebru, Samuel","Santos, Jeff","Sutton, Bryan","Toner, Paul F.","Siddiqui, Sumbul","Sivongxay, Vatsady","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Kelley, Craig A.","Lenke, Dan","Mallon, Alana M.","Levy, Ilan","Musgrave, Adriane B.","Okamoto, Nadya T.",NA,NA
"Okamoto, Nadya T.","Pillai, Hari I.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Musgrave, Adriane B.","Tierney, Sean","Mallon, Alana M.","Gebru, Samuel","Toner, Paul F.","Toomey, Jr., Timothy J.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Jeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Harding, Jr., Richard","Kelley, Craig A.","Santos, Jeff","D'Ambrosio, Olivia","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Harding, Jr., Richard","Tierney, Sean","Toner, Paul F.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Simmons, E. Denise","Devereux, Jan","Mallon, Alana M.","Siddiqui, Sumbul","Sivongxay, Vatsady","Gebru, Samuel","Harding, Jr., Richard","Pillai, Hari I.","Volmar, Gwen Thomas","Musgrave, Adriane B.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Jeff","Siddiqui, Sumbul","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tierney, Sean","Mallon, Alana M.","Toner, Paul F.","Toomey, Jr., Timothy J.","Harding, Jr., Richard","Simmons, E. Denise","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Tierney, Sean","Gebru, Samuel","Zondervan, Quinton Y.","Siddiqui, Sumbul","Simmons, E. Denise","McGovern, Marc C.","Toner, Paul F.","Devereux, Jan","Kelley, Craig A.","Santos, Jeff","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toner, Paul F.","Devereux, Jan","Tierney, Sean","Zondervan, Quinton Y.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Musgrave, Adriane B.","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Toomey, Jr., Timothy J.","McGovern, Marc C.","Kelley, Craig A.","Benjamin, Ronald","Okamoto, Nadya T.","Sivongxay, Vatsady","Tierney, Sean","Zondervan, Quinton Y.","Burgin, Josh M.","Gebru, Samuel","Mallon, Alana M.","Lenke, Dan","Harding, Jr., Richard","Santos, Jeff","Pillai, Hari I.","D'Ambrosio, Olivia","Volmar, Gwen Thomas",NA,NA,NA,NA
"Zondervan, Quinton Y.","Sivongxay, Vatsady","Harding, Jr., Richard","Tierney, Sean","D'Ambrosio, Olivia","Gebru, Samuel","Okamoto, Nadya T.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Carlone, Dennis J.","Devereux, Jan","Kelley, Craig A.","McGovern, Marc C.","Simmons, E. Denise","Sutton, Bryan","Harding, Jr., Richard","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","McGovern, Marc C.","Kelley, Craig A.","Devereux, Jan","Carlone, Dennis J.","Toomey, Jr., Timothy J.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Musgrave, Adriane B.","Siddiqui, Sumbul","Carlone, Dennis J.","Kelley, Craig A.","Toner, Paul F.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Musgrave, Adriane B.","Carlone, Dennis J.","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Siddiqui, Sumbul","Simmons, E. Denise","Toner, Paul F.","Carlone, Dennis J.","Devereux, Jan","Okamoto, Nadya T.","Sivongxay, Vatsady","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Carlone, Dennis J.","Devereux, Jan","Musgrave, Adriane B.","Toner, Paul F.","Tierney, Sean","Kelley, Craig A.","Toomey, Jr., Timothy J.","Harding, Jr., Richard","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Sivongxay, Vatsady","Siddiqui, Sumbul","Simmons, E. Denise","Zondervan, Quinton Y.","Gebru, Samuel","Sutton, Bryan","Devereux, Jan","Kelley, Craig A.","Pillai, Hari I.","Volmar, Gwen Thomas","D'Ambrosio, Olivia","Musgrave, Adriane B.","Benjamin, Ronald","Harding, Jr., Richard","Tierney, Sean","Mallon, Alana M.","McGovern, Marc C.","Toomey, Jr., Timothy J.","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Musgrave, Adriane B.","Simmons, E. Denise","Tierney, Sean","Toner, Paul F.","Burgin, Josh M.","Mallon, Alana M.","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Kelley, Craig A.","Tierney, Sean","Carlone, Dennis J.","Lenke, Dan","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Toomey, Jr., Timothy J.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Kelley, Craig A.","Simmons, E. Denise","Tierney, Sean","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Harding, Jr., Richard","Simmons, E. Denise","Mallon, Alana M.","Devereux, Jan","Volmar, Gwen Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Devereux, Jan","Mallon, Alana M.","Okamoto, Nadya T.","Harding, Jr., Richard","Musgrave, Adriane B.","D'Ambrosio, Olivia","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
